2025-06-19 18:36:38 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame ipca: 0 erros encontrados
2025-06-19 18:36:38 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame selic: 0 erros encontrados
2025-06-19 18:36:38 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame cambio_ptax_venda: 0 erros encontrados
2025-06-19 18:36:38 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame deficit_primario: 0 erros encontrados
2025-06-19 18:36:38 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame arrecadacao_iof: 0 erros encontrados
2025-06-19 18:36:38 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame pib: 1 erros encontrados
2025-06-19 18:36:38 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame desemprego: 0 erros encontrados
2025-06-19 18:36:38 | INFO     | dashboard_economico.data_manager | data_manager.get_data_quality_report:384 | Relatório de qualidade gerado: 6/7 indicadores válidos
2025-06-19 18:37:46 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:37:46 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame ipca: 0 erros encontrados
2025-06-19 18:37:46 | INFO     | dashboard_economico.data_manager | data_manager.load_indicator_data:197 | Dados do indicador ipca carregados: 59 registros
2025-06-19 18:37:46 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame selic: 0 erros encontrados
2025-06-19 18:37:46 | INFO     | dashboard_economico.data_manager | data_manager.load_indicator_data:197 | Dados do indicador selic carregados: 1253 registros
2025-06-19 18:37:46 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame cambio_ptax_venda: 0 erros encontrados
2025-06-19 18:37:46 | INFO     | dashboard_economico.data_manager | data_manager.load_indicator_data:197 | Dados do indicador cambio_ptax_venda carregados: 1253 registros
